"KAZNIVO DEJANJE","Razlog zavrženja - SKUPAJ 2013","Razlog zavrženja - SKUPAJ 2014","Razlog zavrženja - SKUPAJ 2015","Razlog zavrženja - SKUPAJ 2016","Razlog zavrženja - SKUPAJ 2017","Razlog zavrženja - SKUPAJ 2018","Razlog zavrženja - SKUPAJ 2019","Razlog zavrženja - SKUPAJ 2020","Razlog zavrženja - SKUPAJ 2021","Ni utemeljenega suma 2013","Ni utemeljenega suma 2014","Ni utemeljenega suma 2015","Ni utemeljenega suma 2016","Ni utemeljenega suma 2017","Ni utemeljenega suma 2018","Ni utemeljenega suma 2019","Ni utemeljenega suma 2020","Ni utemeljenega suma 2021","Izkljuèen pregon 2013","Izkljuèen pregon 2014","Izkljuèen pregon 2015","Izkljuèen pregon 2016","Izkljuèen pregon 2017","Izkljuèen pregon 2018","Izkljuèen pregon 2019","Izkljuèen pregon 2020","Izkljuèen pregon 2021","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2013","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2014","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2015","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2016","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2017","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2018","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2019","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2020","Nesorazmerje med majhnim pomenom kd in posledicami kazenskega pregona 2021","Ni znakov kaznivega dejanja 2013","Ni znakov kaznivega dejanja 2014","Ni znakov kaznivega dejanja 2015","Ni znakov kaznivega dejanja 2016","Ni znakov kaznivega dejanja 2017","Ni znakov kaznivega dejanja 2018","Ni znakov kaznivega dejanja 2019","Ni znakov kaznivega dejanja 2020","Ni znakov kaznivega dejanja 2021","Umik predloga za pregon 2013","Umik predloga za pregon 2014","Umik predloga za pregon 2015","Umik predloga za pregon 2016","Umik predloga za pregon 2017","Umik predloga za pregon 2018","Umik predloga za pregon 2019","Umik predloga za pregon 2020","Umik predloga za pregon 2021","Po odloženem kazenskem pregonu 2013","Po odloženem kazenskem pregonu 2014","Po odloženem kazenskem pregonu 2015","Po odloženem kazenskem pregonu 2016","Po odloženem kazenskem pregonu 2017","Po odloženem kazenskem pregonu 2018","Po odloženem kazenskem pregonu 2019","Po odloženem kazenskem pregonu 2020","Po odloženem kazenskem pregonu 2021","Smotrnost 2013","Smotrnost 2014","Smotrnost 2015","Smotrnost 2016","Smotrnost 2017","Smotrnost 2018","Smotrnost 2019","Smotrnost 2020","Smotrnost 2021","Zastaranje 2013","Zastaranje 2014","Zastaranje 2015","Zastaranje 2016","Zastaranje 2017","Zastaranje 2018","Zastaranje 2019","Zastaranje 2020","Zastaranje 2021","Po poravnavi 2013","Po poravnavi 2014","Po poravnavi 2015","Po poravnavi 2016","Po poravnavi 2017","Po poravnavi 2018","Po poravnavi 2019","Po poravnavi 2020","Po poravnavi 2021","Izkljuèena kazenska odgovornost 2013","Izkljuèena kazenska odgovornost 2014","Izkljuèena kazenska odgovornost 2015","Izkljuèena kazenska odgovornost 2016","Izkljuèena kazenska odgovornost 2017","Izkljuèena kazenska odgovornost 2018","Izkljuèena kazenska odgovornost 2019","Izkljuèena kazenska odgovornost 2020","Izkljuèena kazenska odgovornost 2021","Oportuniteta - smotrnost (mladoletniki) 2013","Oportuniteta - smotrnost (mladoletniki) 2014","Oportuniteta - smotrnost (mladoletniki) 2015","Oportuniteta - smotrnost (mladoletniki) 2016","Oportuniteta - smotrnost (mladoletniki) 2017","Oportuniteta - smotrnost (mladoletniki) 2018","Oportuniteta - smotrnost (mladoletniki) 2019","Oportuniteta - smotrnost (mladoletniki) 2020","Oportuniteta - smotrnost (mladoletniki) 2021","Oportuniteta - izvajanje varnostnega ukrepa v teku 2013","Oportuniteta - izvajanje varnostnega ukrepa v teku 2014","Oportuniteta - izvajanje varnostnega ukrepa v teku 2015","Oportuniteta - izvajanje varnostnega ukrepa v teku 2016","Oportuniteta - izvajanje varnostnega ukrepa v teku 2017","Oportuniteta - izvajanje varnostnega ukrepa v teku 2018","Oportuniteta - izvajanje varnostnega ukrepa v teku 2019","Oportuniteta - izvajanje varnostnega ukrepa v teku 2020","Oportuniteta - izvajanje varnostnega ukrepa v teku 2021","Oportuniteta - kazen v teku 2013","Oportuniteta - kazen v teku 2014","Oportuniteta - kazen v teku 2015","Oportuniteta - kazen v teku 2016","Oportuniteta - kazen v teku 2017","Oportuniteta - kazen v teku 2018","Oportuniteta - kazen v teku 2019","Oportuniteta - kazen v teku 2020","Oportuniteta - kazen v teku 2021","Otrok pod 14 let 2013","Otrok pod 14 let 2014","Otrok pod 14 let 2015","Otrok pod 14 let 2016","Otrok pod 14 let 2017","Otrok pod 14 let 2018","Otrok pod 14 let 2019","Otrok pod 14 let 2020","Otrok pod 14 let 2021"
"KAZNIVO DEJANJE - SKUPAJ",15028,16580,20517,19031,18328,16818,16483,15658,14239,5245,5975,8065,7937,7807,7054,6857,6815,6092,2523,1811,1466,1301,1637,1409,1541,1439,1168,2357,3277,3879,3271,3068,2780,2585,2284,1773,1219,1643,2199,1672,1609,1373,1608,1778,1784,1203,2163,2647,2866,2355,2524,2340,2092,1843,1055,1306,1769,1492,1394,1360,1174,955,1260,1012,-,4,4,11,12,2,5,3,227,250,223,160,119,62,65,51,69,171,131,238,301,307,225,298,229,234,16,24,27,23,17,6,12,8,8,-,-,-,-,1,7,-,-,-,-,-,-,1,1,6,-,-,-,-,-,-,1,2,-,1,1,4,-,-,-,2,-,-,-,1,1
"1. KAZENSKI ZAKONIK (KZ-UPB1)",508,382,333,246,236,143,95,50,44,202,119,135,98,121,67,34,12,5,92,54,18,25,41,16,38,15,8,3,3,4,6,2,1,-,-,1,55,58,45,30,22,19,4,2,1,1,-,7,3,2,-,-,-,-,8,1,8,2,-,-,1,1,-,2,-,-,-,1,-,-,-,-,143,145,115,80,47,40,18,20,26,0,2,1,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
"1.XV KAZNIVA DEJANJA ZOPER ŽIVLJENJE IN TELO",10,6,3,2,6,1,1,7,-,3,2,2,-,5,-,-,-,-,3,-,-,-,1,1,1,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,3,-,2,-,-,-,7,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.127 umor",3,1,1,-,4,-,-,-,-,1,1,1,-,4,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.127010 umor - od. 1.",2,-,-,-,4,-,-,-,-,0,-,-,-,4,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.127021 umor - od. 2, tè. 1",1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.127031 umor - od. 3 v zvezi z od. 1",-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.129 povzroèitev smrti iz malomarnosti",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.129000 povzroèitev smrti iz malomarnosti",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.130 detomor",-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.130000 detomor",-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.133 lahka telesna poškodba",4,2,-,-,1,-,-,6,-,0,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,6,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.133010 lahka telesna poškodba - od. 1",3,-,-,-,1,-,-,5,-,0,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,5,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.133021 lahka telesna poškodba - od. 2 v zvezi z od. 1",1,2,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.134 huda telesna poškodba",2,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.134010 huda telesna poškodba - od. 1",2,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.134031 huda telesna poškodba - od. 3 v zvezi z od 1",-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.135 posebno huda telesna poškodba",-,-,1,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.135010 posebno huda telesna poškodba - od. 1",-,-,1,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.137 ogrožanje z nevarnim orodjem pri pretepu ali prepiru",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.137010 ogrožanje z nevarnim orodjem pri pretepu ali prepiru - od. 1",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.139 zapustitev slabotne osebe",-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XV.139000 zapustitev slabotne osebe",-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI KAZNIVA DEJANJA ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE",5,8,-,1,3,5,1,3,1,3,1,-,-,2,4,-,-,1,0,2,-,-,1,-,1,1,-,0,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,5,-,-,-,1,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.141 kršitev enakopravnosti",-,1,-,-,2,1,-,-,1,-,1,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.141010 kršitev enakopravnosti - od. 1",-,1,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.141031 kršitev enakopravnosti - od. 3 v zvezi z od. 1",-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.142 prisiljenje",-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.142010 prisiljenje - od. 1",-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.143 protipraven odvzem prostosti",3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.143021 protipraven odvzem prostosti - od. 2 v zvezi z od. 1",3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.145 ogrožanje varnosti",-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.145010 ogrožanje varnosti - od. 1",-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.146 grdo ravnanje",2,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.146010 grdo ravnanje - od. 1",2,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.150 kršitev tajnosti obèil",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.150010 kršitev tajnosti obèil - od. 1",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1.XVI.152 kršitev nedotakljivosti stanovanja",-,-,-,1,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
